year,group,num
1949,Original,5
1950,Original,6
1953,Original,4
1954,Original,14
1955,Original,39
1956,Original,18
1957,Original,24
1958,Original,66
1959,Original,4
1960,Original,3
1961,Original,25
1962,Original,13
1963,Original,60
1964,Original,37
1965,Original,27
1966,Original,122
1967,Original,30
1968,Original,42
1969,Original,75
1970,Original,42
1971,Original,57
1972,Original,39
1973,Original,72
1974,Original,39
1975,Original,41
1976,Original,77
1977,Original,114
1978,Original,77
1979,Original,93
1980,Original,110
1981,Original,84
1982,Original,89
1983,Licensed,4
1983,Original,71
1984,Original,98
1985,Licensed,2
1985,Original,174
1986,Original,163
1987,Original,240
1988,Original,85
1989,Licensed,8
1989,Original,130
1990,Original,115
1991,Original,148
1992,Original,138
1993,Original,137
1994,Licensed,4
1994,Original,166
1995,Original,195
1996,Original,197
1997,Original,286
1998,Original,421
1999,Licensed,22
1999,Original,356
2000,Licensed,32
2000,Original,376
2001,Licensed,37
2001,Original,422
2002,Licensed,59
2002,Original,521
2003,Licensed,47
2003,Original,493
2004,Licensed,63
2004,Original,404
2005,Licensed,48
2005,Original,361
2006,Licensed,33
2006,Original,404
2007,Licensed,33
2007,Original,448
2008,Licensed,52
2008,Original,410
2009,Licensed,54
2009,Original,496
2010,Licensed,65
2010,Original,462
2011,Licensed,67
2011,Original,563
2012,Licensed,116
2012,Original,627
2013,Licensed,96
2013,Original,686
2014,Licensed,134
2014,Original,875
2015,Licensed,157
2015,Original,833
2016,Licensed,165
2016,Original,789
2017,Licensed,182
2017,Original,888
2018,Licensed,237
2018,Original,792
2019,Licensed,188
2019,Original,858
2020,Licensed,241
2020,Original,822
2021,Licensed,264
2021,Original,887
2022,Licensed,240
2022,Original,917
2023,Licensed,282
2023,Original,786
2024,Licensed,280
2024,Original,882
2025,Licensed,286
2025,Original,826
2026,Licensed,55
2026,Original,143
