id,name,rgb,is_trans,num_parts,num_sets,y1,y2
0,Black,05131D,FALSE,782523,216237,1957,2026
15,White,FFFFFF,FALSE,483912,141884,1949,2025
71,Light Bluish Gray,A0A5A9,FALSE,481411,125527,2002,2025
72,Dark Bluish Gray,6C6E68,FALSE,347421,97044,1999,2025
4,Red,C91A09,FALSE,304253,90853,1949,2025
14,Yellow,F2CD37,FALSE,204880,68436,1949,2026
1,Blue,0055BF,FALSE,198078,47920,1949,2025
19,Tan,E4CD9E,FALSE,176424,42186,1982,2025
70,Reddish Brown,582A12,FALSE,160569,45556,2003,2025
7,Light Gray,9BA19D,FALSE,92795,25158,1954,2007
2,Green,237841,FALSE,84970,25244,1949,2025
28,Dark Tan,958A73,FALSE,64659,15432,2000,2025
25,Orange,FE8A18,FALSE,50774,16609,1997,2025
272,Dark Blue,0A3463,FALSE,49099,14020,1999,2025
297,Pearl Gold,AA7F2E,FALSE,47675,14178,2004,2026
320,Dark Red,720E0F,FALSE,46532,11752,2001,2025
47,Trans-Clear,FCFCFC,TRUE,44555,14367,1954,2025
27,Lime,BBE90B,FALSE,41598,13712,1997,2025
84,Medium Nougat,AA7D55,FALSE,36277,10424,2010,2025
41,Trans-Light Blue,AEEFEC,TRUE,31028,8933,1985,2025
191,Bright Light Orange,F8BB3D,FALSE,27930,9354,2003,2025
322,Medium Azure,36AEBF,FALSE,25642,9094,2012,2025
484,Dark Orange,A95500,FALSE,24703,7400,1994,2025
10,Bright Green,4B9F4A,FALSE,24042,7460,1949,2026
288,Dark Green,184632,FALSE,23264,5535,1999,2026
378,Sand Green,A0BCAC,FALSE,23117,4704,2000,2025
308,Dark Brown,352100,FALSE,22766,6354,2008,2025
8,Dark Gray,6D6E5C,FALSE,22432,7789,1978,2008
179,Flat Silver,898788,FALSE,21777,8205,2009,2025
3,Dark Turquoise,008F9B,FALSE,21086,5584,1998,2025
36,Trans-Red,C91A09,TRUE,19945,6955,1969,2025
29,Bright Pink,E4ADC8,FALSE,16727,5297,2003,2025
85,Dark Purple,3F3691,FALSE,16064,5631,2000,2025
182,Trans-Orange,F08F1C,TRUE,14906,4765,2002,2025
321,Dark Azure,078BC9,FALSE,14560,5101,2011,2025
5,Dark Pink,C870A0,FALSE,14138,4471,2003,2025
73,Medium Blue,5A93DB,FALSE,13240,3482,1997,2025
46,Trans-Yellow,F5CD2F,TRUE,12892,4327,1969,2025
26,Magenta,923978,FALSE,12599,4452,2000,2025
226,Bright Light Yellow,FFF03A,FALSE,10908,3389,2004,2025
326,Olive Green,9B9A5A,FALSE,10732,2323,2010,2025
33,Trans-Dark Blue,0020A0,TRUE,10485,3244,1965,2025
78,Light Nougat,F6D7B3,FALSE,10271,5567,2004,2025
323,Light Aqua,ADC3C0,FALSE,9927,2889,2011,2025
379,Sand Blue,6074A1,FALSE,9775,2656,2001,2025
9999,[No Color/Any Color],05131D,FALSE,9604,9376,1955,2025
6,Brown,583927,FALSE,9554,3781,1974,2006
30,Medium Lavender,AC78BA,FALSE,8850,3023,2011,2025
40,Trans-Brown,635F52,TRUE,8654,3007,1999,2025
212,Bright Light Blue,9FC3E9,FALSE,7915,2410,2004,2025
31,Lavender,E1D5ED,FALSE,7610,2063,2011,2025
1103,Pearl Titanium,3E3C39,FALSE,7254,3167,2010,2025
1050,Coral,FF698F,FALSE,7013,1625,2019,2025
42,Trans-Neon Green,F8F184,TRUE,6796,2335,1990,2024
57,Trans-Neon Orange,FF800D,TRUE,5607,1947,1993,2024
45,Trans-Dark Pink,DF6695,TRUE,5570,1893,1998,2025
135,Pearl Light Gray,9CA3A8,FALSE,5488,2388,2000,2011
34,Trans-Green,84B68D,TRUE,5263,2221,1969,2025
80,Metallic Silver,A5A9B4,FALSE,3851,1263,1998,2025
35,Trans-Bright Green,D9E4A7,TRUE,3454,1224,2010,2025
158,Yellowish Green,DFEEA5,FALSE,3274,981,2012,2025
1013,Modulex White,F4F4F4,FALSE,2998,758,1963,1963
52,Trans-Purple,A5A5CB,TRUE,2964,834,2000,2025
92,Nougat,D09168,FALSE,2697,1095,1979,2025
82,Metallic Gold,DBAC34,FALSE,2644,660,1997,2025
1136,Reddish Orange,CA4C0B,FALSE,2557,541,2024,2025
1018,Modulex Black,4D4C52,FALSE,2499,310,1963,1963
1015,Modulex Light Gray,9C9C9C,FALSE,2249,62,1963,1963
1021,Modulex Brown,907450,FALSE,2223,36,1963,1963
334,Chrome Gold,BBA53D,FALSE,2171,838,1989,2025
1062,Vibrant Yellow,EBD800,FALSE,1874,577,2022,2025
1022,Modulex Buff,DEC69C,FALSE,1626,42,1963,1963
1020,Modulex Terracotta,5C5030,FALSE,1622,38,1963,1963
1039,Modulex Clear,FFFFFF,FALSE,1394,71,1963,1963
383,Chrome Silver,E0E0E0,FALSE,1325,625,1977,2025
1031,Modulex Olive Green,7C9051,FALSE,1111,21,1963,1963
1028,Modulex Ochre Yellow,FED557,FALSE,1107,18,1963,1963
1033,Modulex Teal Blue,467083,FALSE,1104,15,1963,1963
351,Medium Dark Pink,F785B1,FALSE,1092,574,1994,2005
22,Purple,81007B,FALSE,1005,318,1997,2005
1053,Opal Trans-Light Blue,68BCC5,TRUE,853,229,2020,2025
1055,Opal Trans-Clear,FCFCFC,TRUE,833,150,2020,2025
1095,Trans-Black,635F52,TRUE,815,164,2023,2025
1051,Pastel Blue,5AC4DA,FALSE,734,101,2000,2011
143,Trans-Medium Blue,CFE2F7,TRUE,704,250,2001,2018
1000,Glow in Dark White,D9D9D9,FALSE,652,183,2011,2025
335,Sand Red,D67572,FALSE,603,51,2001,2004
74,Medium Green,73DCA1,FALSE,569,307,1994,2005
148,Pearl Dark Gray,575857,FALSE,532,281,2001,2010
462,Medium Orange,FFA70B,FALSE,494,284,1996,2008
13,Pink,FC97AC,FALSE,477,246,1994,2005
313,Maersk Blue,3592C3,FALSE,469,101,1974,2006
230,Trans-Pink,E4ADC8,TRUE,435,182,2003,2025
1089,Warm Tan,CCA373,FALSE,386,334,2022,2025
18,Light Yellow,FBE696,FALSE,340,187,1994,2005
118,Aqua,B3D7D1,FALSE,326,134,1998,2025
151,Very Light Bluish Gray,E6E3E0,FALSE,283,152,1998,2013
1059,Opal Trans-Purple,8320B7,TRUE,277,93,2020,2025
503,Very Light Gray,E6E3DA,FALSE,259,49,1997,2004
1094,Trans-Medium Purple,8D73B3,FALSE,258,92,2003,2006
132,Speckle Black-Silver,05131D,FALSE,244,91,2005,2013
79,Milky White,FFFFFF,FALSE,239,158,1963,2008
114,Glitter Trans-Dark Pink,DF6695,TRUE,234,50,1999,2024
43,Trans-Very Lt Blue,C1DFF0,TRUE,232,76,2003,2006
117,Glitter Trans-Clear,FFFFFF,TRUE,230,38,1999,2023
1017,Modulex Tile Gray,6B5A5A,FALSE,219,218,1963,1963
1004,Trans-Flame Yellowish Orange,FCB76D,TRUE,214,82,2003,2006
21,Glow In Dark Opaque,D4D5C9,FALSE,209,151,1990,2006
1061,Opal Trans-Dark Blue,0020A0,TRUE,209,52,2021,2025
115,Medium Lime,C7D23C,FALSE,192,105,1998,2005
110,Violet,4354A3,FALSE,191,119,1992,2008
134,Copper,AE7A59,FALSE,191,44,2004,2008
89,Royal Blue,4C61DB,FALSE,190,67,2004,2005
54,Trans-Neon Yellow,DAB000,TRUE,187,57,2001,2005
1054,Opal Trans-Dark Pink,CE1D9B,TRUE,186,69,2020,2025
1088,Medium Brown,755945,FALSE,186,185,2022,2025
12,Salmon,F2705E,FALSE,185,115,1997,2000
77,Light Pink,FECCCF,FALSE,184,81,1991,1994
20,Light Violet,C9CAE2,FALSE,182,124,1994,2002
100,Light Salmon,FEBABD,FALSE,180,111,1997,2002
137,Pearl Sand Blue,7988A1,FALSE,171,77,2000,2006
366,Earth Orange,FA9C1C,FALSE,170,132,1982,2005
129,Glitter Trans-Purple,A5A5CB,TRUE,169,74,2000,2025
86,Light Brown,7C503A,FALSE,167,100,2002,2006
17,Light Green,C2DAB8,FALSE,165,124,1992,2005
1019,Modulex Tile Brown,330000,FALSE,158,157,1963,1963
1060,Opal Trans-Bright Green,84B68D,TRUE,143,23,2021,2025
178,Flat Dark Gold,B48455,FALSE,141,113,2002,2006
1056,Opal Trans-Brown,583927,TRUE,140,16,2020,2023
11,Light Turquoise,55A5AF,FALSE,136,74,1998,2004
232,Sky Blue,7DBFDD,FALSE,131,62,2003,2007
294,Glow In Dark Trans,BDC6AD,TRUE,131,43,2005,2011
1057,Trans-Light Bright Green,C9E788,TRUE,119,48,2003,2006
69,Light Purple,CD6298,FALSE,102,38,2003,2006
1003,Glitter Trans-Light Blue,68BCC5,TRUE,91,43,2015,2024
1006,Trans-Light Royal Blue,B4D4F7,TRUE,90,48,2005,2005
1034,Modulex Tile Blue,0057A6,FALSE,80,79,1963,1963
1065,Reddish Gold,AC8247,FALSE,79,68,2002,2006
373,Sand Purple,8.45E+86,FALSE,73,21,2001,2003
1063,Pearl Copper,B46A00,FALSE,72,45,2017,2020
236,Trans-Light Purple,96709F,TRUE,71,37,2000,2006
125,Light Orange,F9BA61,FALSE,66,46,1998,2004
112,Medium Bluish Violet,6874CA,FALSE,63,55,1999,2005
450,Fabuland Brown,B67B50,FALSE,55,43,1979,1991
1135,Metal,A5ADB4,FALSE,55,30,1957,2021
1092,Metallic Copper,764D3B,FALSE,52,18,2008,2012
1093,Light Lilac,9195CA,FALSE,51,19,2003,2011
1137,Sienna Brown,915C3C,FALSE,50,49,2024,2025
1007,Reddish Lilac,8E5597,FALSE,49,22,2004,2005
1087,Duplo Pink,FF879C,FALSE,47,21,1992,1993
183,Pearl White,F2F3F2,FALSE,46,19,2003,2021
9,Light Blue,B4D2E3,FALSE,42,33,1995,2007
1058,Trans-Light Green,94E5AB,TRUE,42,16,2005,2006
1005,Trans-Fire Yellow,FBE890,TRUE,41,16,2003,2006
1086,Pearl Lime,6A7944,FALSE,41,39,2002,2004
150,Pearl Very Light Gray,ABADAC,FALSE,40,29,2000,2004
1030,Modulex Pastel Green,7DB538,FALSE,35,34,1963,1963
1072,Pearl Brown,57392C,FALSE,35,17,2003,2006
1073,Pearl Black,0A1327,FALSE,35,19,2000,2006
60,Chrome Antique Brass,645A4C,FALSE,33,16,2001,2005
1009,Vintage Green,1E601E,FALSE,32,8,1949,1949
1082,Clikits Pink,FE78B0,FALSE,32,10,2006,2006
216,Rust,B31004,FALSE,31,17,1989,2001
1010,Vintage Red,CA1F08,FALSE,31,8,1949,1949
120,Light Lime,D9E4A7,FALSE,28,20,1998,2007
142,Pearl Light Gold,DCBC81,FALSE,28,27,2000,2005
61,Chrome Blue,6C96BF,FALSE,26,16,1998,2006
1023,Modulex Red,B52C20,FALSE,26,26,1963,1963
1025,Modulex Orange,F47B30,FALSE,26,25,1963,1963
1008,Vintage Blue,039CBD,FALSE,24,4,1949,1949
1011,Vintage Yellow,F3C305,FALSE,24,4,1949,1949
1069,Pearl Red,D60026,FALSE,24,14,2003,2006
81,Metallic Green,899B5F,FALSE,23,13,2001,2001
1029,Modulex Lemon,BDC618,FALSE,23,23,1963,1963
