id,name,parent_id,licensed
234,12V,233,0
279,4 Juniors,,0
235,4.5V,233,0
236,9V,233,0
657,Action Wheelers,504,0
760,Activity Books,497,0
761,Activity Books with LEGO Parts,497,0
207,Advent,206,0
296,Adventurers,,0
302,Agents,,0
729,Airlines,598,0
53,Airport,52,0
412,Airport,411,0
127,Alien Conquest,126,0
304,Alpha Team,,0
606,Angry Birds,,1
752,Animal Crossing,,1
308,Aquanauts,307,0
309,Aquaraiders I,307,0
310,Aquaraiders II,307,0
311,Aquasharks,307,0
307,Aquazone,,0
252,Architecture,,0
51,Arctic,50,0
65,Arctic,52,0
315,Atlantis,,0
730,Audio and Visual Media,501,0
724,Avatar,,1
317,Avatar: The Last Airbender,,1
702,Avengers,696,1
731,Bag and Luggage Tags,501,0
777,"Bags, Totes, & Luggage",501,0
467,Basic,465,0
505,Basic Set,504,0
459,Basketball,458,0
697,Batman,695,1
210,Belville,207,0
318,Belville,,0
270,Ben 10,,1
324,Bionicle,,0
187,Black Falcons,186,0
188,Black Knights,186,0
128,Blacktron I,126,0
129,Blacktron II,126,0
772,Bluey,,1
363,Boat,,0
626,Bob the Builder,504,1
497,Books,,0
769,Botanicals,,0
694,Brick Sketches,,0
610,Brickheadz,,0
719,BrickLink Designer Program,,0
35,Bricks & More,34,0
157,Bricktober,598,0
413,Building,411,0
364,Building Set with People,,0
511,Building Set with People,507,0
254,Bulk Bricks,,0
782,Captain America,696,1
54,Cargo,52,0
269,Cars,,0
506,Cars,754,0
615,Cars,591,0
186,Castle,,0
211,Castle,207,0
414,Castle,411,0
647,Castle,504,0
779,Chinese (Lunar) New Year,206,0
686,Chinese Traditional Festivals,,0
227,Christmas,206,0
619,Cities of Wonders,408,0
52,City,,0
208,City,207,0
106,City Center,50,0
621,Classic,,0
212,Classic Basic,207,0
470,Classic Basic,465,0
189,Classic Castle,186,0
130,Classic Space,126,0
67,Classic Town,50,0
213,Clikits,207,0
500,Clikits,,0
732,Clocks and Watches,501,0
55,Coast Guard,52,0
415,Coast Guard,411,0
535,Collectible Minifigures,,0
3,Competition,1,0
573,Constraction,571,0
56,Construction,52,0
416,Construction,411,0
530,Control Lab,529,0
22,Creator,,0
214,Creator,207,0
228,Creator,227,0
672,Creator 3-in-1,22,0
673,Creator Expert,22,0
191,Dark Forest,186,0
746,Database Sets,301,0
653,DC Comics,504,1
592,DC Comics Super Heroes,591,1
617,DC Super Hero Girls,,1
684,DC Super Heroes,535,1
297,Desert,296,0
204,Designer Sets,22,0
763,Despicable Me 4,,1
557,DFB Minifigures,535,0
604,Dimensions,,0
481,Dino,,0
658,Dino,504,0
385,Dino Attack / Dino 2010,,0
298,Dino Island,296,0
386,Dinosaurs,,0
387,Discovery,,0
608,Disney,,1
754,Disney,504,1
780,Disney,207,1
745,Disney 100,535,1
579,Disney Princess,608,1
593,Disney Princess,591,1
640,Disney Princess,754,1
555,Disney Series 1,535,1
677,Disney Series 2,535,1
86,Divers,50,0
648,Doc McStuffins,754,1
659,Dolls,504,0
628,Dora the Explorer,504,1
688,DOTS,,0
190,Dragon Knights,186,0
749,Dreamzzz,,0
767,Dungeons & Dragons,535,1
504,Duplo,,0
516,Duplo and Explore,507,0
674,Early Creator,22,0
229,Easter,206,0
787,Editions,,0
507,Educational and Dacta,,0
531,eLAB,529,0
600,Elves,,0
262,EV3,258,0
389,Exo-Force,,0
4,Expert Builder,1,0
131,Exploriens,126,0
87,Extreme Team,50,0
390,Fabuland,,0
397,Factory,,0
667,Fantastic Beasts,246,1
193,Fantasy Era,186,0
57,Farm,52,0
114,Ferrari,112,1
471,Ferries,598,0
58,Fire,52,0
417,Fire,411,0
398,FIRST LEGO League,,0
194,Forestmen,186,0
671,Forma,,0
774,Formula 1,535,1
766,Fortnite,,1
399,Freestyle,,0
216,Friends,207,0
494,Friends,,0
595,Friends,591,0
195,Fright Knights,186,0
687,Frozen,608,1
590,Fusion,,0
132,Futuron,126,0
748,Gabby's Dollhouse,,1
146,Galaxy Squad,126,0
685,Galidor,,0
502,Games,,0
418,Gas Station,411,0
501,Gear,,0
472,Gears,465,0
607,Ghostbusters,,1
460,Gravity Games,458,0
704,Guardians of the Galaxy,696,1
230,Halloween,206,0
59,Harbor,52,0
419,Harbor,411,0
246,Harry Potter,,1
710,Harry Potter,207,1
656,Harry Potter and Fantastic Beasts Series 1,535,1
691,Harry Potter and Fantastic Beasts Series 2,535,1
400,Hero Factory,,0
401,Heroes,400,0
676,Hidden Side,,0
368,HO 1:87 Vehicles,365,0
404,Hobby Sets,,0
461,Hockey,458,1
405,Homemaker,,0
770,Horizon Adventures,,1
60,Hospital,52,0
420,Hospital,411,0
733,Houseware,501,0
312,Hydronauts,307,0
133,Ice Planet 2002,126,0
721,Icons,,0
